Record_ID,Person_ID,Physical_Activity_Minutes,Daily_Steps,Exercise_Duration_Minutes,Caffeine_Intake_mg,Screen_Time_Hours,Work_Study_Hours,Stress_Level,Fatigue_Level,Nap_Occurred,Nap_Start_Time,Nap_Duration_Minutes,Is_Disruption_Day
R000001,P0001,94.4,10223,23.1,230.0,3.49,6.93,6,4,False,,0,False
R000002,P0001,83.2,10460,14.1,213.6,5.43,6.74,6,5,False,,0,True
R000003,P0001,79.3,10254,27.2,299.2,6.41,5.93,6,5,False,,0,True
R000004,P0001,89.0,8837,35.4,598.7,6.29,5.82,5,4,False,,0,True
R000005,P0001,87.1,11916,12.9,249.9,5.28,7.92,6,5,False,,0,False
R000006,P0001,86.9,8137,30.2,258.6,6.31,3.42,6,4,False,,0,False
R000007,P0001,1.1,1651,8.0,116.7,6.78,2.49,5,2,False,,0,False
R000008,P0001,80.9,8773,26.4,216.8,5.67,5.19,3,4,False,,0,False
R000009,P0001,87.1,10220,12.5,174.5,6.22,7.37,4,6,False,,0,False
R000010,P0001,106.0,12563,34.7,213.9,3.99,6.86,4,6,False,,0,False
R000011,P0001,71.8,9194,25.8,245.0,9.02,7.29,5,5,False,,0,False
R000012,P0001,48.0,6102,20.4,273.0,6.36,8.01,6,3,False,,0,False
R000013,P0001,123.5,13253,47.7,247.4,5.35,4.15,1,3,False,,0,False
R000014,P0001,58.8,6342,24.7,200.4,5.11,3.87,3,5,False,,0,False
R000015,P0001,92.7,10300,31.8,237.0,5.28,6.13,3,6,False,,0,False
R000016,P0001,46.1,5491,8.3,221.1,4.73,7.35,5,5,True,15:40,10,False
R000017,P0001,106.1,9704,51.5,270.6,4.39,6.3,6,4,False,,0,False
R000018,P0001,116.4,15976,17.9,183.9,6.95,6.64,5,4,False,,0,True
R000019,P0001,101.5,12517,32.3,261.0,6.3,7.19,7,5,False,,0,False
R000020,P0001,89.6,11008,32.8,228.2,5.6,4.21,5,8,False,,0,False
R000021,P0001,59.9,6048,10.1,174.7,6.5,0.0,3,6,False,,0,False
R000022,P0001,54.0,6340,31.8,251.5,7.75,8.36,6,5,False,,0,False
R000023,P0001,76.4,6525,17.2,227.4,8.19,6.64,7,3,False,,0,True
R000024,P0001,91.0,11298,26.2,244.6,6.25,5.5,6,6,True,13:01,23,False
R000025,P0001,95.5,12655,31.8,259.3,5.54,6.5,4,4,False,,0,False
R000026,P0001,115.9,13293,17.2,230.9,6.94,6.62,6,4,True,16:44,47,True
R000027,P0001,117.1,13640,28.7,148.4,6.2,1.4,2,3,True,15:06,62,False
R000028,P0001,70.0,7548,28.5,351.5,7.15,1.78,4,4,True,13:16,27,True
R000029,P0001,54.0,5704,22.3,272.8,5.7,7.31,6,8,False,,0,False
R000030,P0001,68.6,7207,33.4,337.8,4.18,6.79,6,4,False,,0,False
R000031,P0002,23.1,2808,6.9,32.2,6.14,7.02,7,4,False,,0,False
R000032,P0002,60.0,5456,25.6,46.2,6.25,9.44,7,6,False,,0,False
R000033,P0002,32.8,3005,11.9,71.8,6.87,9.65,7,5,False,,0,False
R000034,P0002,35.2,3430,16.9,139.2,7.36,8.78,6,4,False,,0,False
R000035,P0002,53.3,5947,2.6,98.1,7.24,9.55,7,6,False,,0,False
R000036,P0002,49.8,6841,18.1,37.2,5.56,4.86,6,5,False,,0,False
R000037,P0002,38.5,3240,18.4,70.3,6.66,5.13,5,7,False,,0,False
R000038,P0002,49.0,6207,4.9,0.0,4.27,10.01,8,4,False,,0,False
R000039,P0002,51.6,7270,25.6,62.1,6.92,10.36,7,7,False,,0,False
R000040,P0002,82.9,9506,31.6,0.0,6.79,9.95,8,5,False,,0,False
R000041,P0002,44.5,4214,5.1,20.5,6.83,10.71,7,4,False,,0,False
R000042,P0002,69.2,8233,15.5,108.4,3.44,9.83,6,6,False,,0,False
R000043,P0002,9.3,1007,2.9,82.8,7.83,4.99,8,6,False,,0,True
R000044,P0002,39.7,3735,16.2,73.3,8.7,4.83,8,6,False,,0,False
R000045,P0002,56.6,6232,11.1,32.1,7.12,9.21,9,4,False,,0,False
R000046,P0002,46.7,5330,4.1,88.5,5.97,7.7,7,3,False,,0,False
R000047,P0002,2.5,51,8.4,1.5,7.52,8.46,8,4,False,,0,False
R000048,P0002,40.1,3687,10.7,56.1,5.66,9.46,6,5,False,,0,False
R000049,P0002,24.1,2161,0.0,0.0,6.6,7.68,9,5,True,14:21,41,False
R000050,P0002,67.5,8044,18.3,99.2,4.76,3.22,6,5,False,,0,False
R000051,P0002,70.3,7764,26.4,56.8,5.57,2.72,6,5,False,,0,False
R000052,P0002,30.6,2753,9.8,46.8,5.27,8.54,7,6,False,,0,False
R000053,P0002,28.3,3975,4.4,162.0,5.47,9.49,7,5,False,,0,False
R000054,P0002,52.6,5413,10.8,53.7,5.64,9.3,7,6,False,,0,False
R000055,P0002,8.2,1077,2.5,135.0,7.23,9.04,6,3,True,13:37,72,True
R000056,P0002,20.1,1669,10.1,81.6,5.8,10.29,6,5,False,,0,False
R000057,P0002,39.3,4366,21.9,70.0,7.88,1.97,7,6,False,,0,False
R000058,P0002,18.5,2393,6.8,34.2,6.17,5.29,6,4,False,,0,False
R000059,P0002,37.7,4178,7.4,94.0,6.15,9.09,8,6,False,,0,False
R000060,P0002,24.2,2244,4.9,136.1,6.01,11.4,8,5,False,,0,False
R000061,P0003,81.9,8159,21.2,266.4,2.45,6.39,4,5,False,,0,False
R000062,P0003,54.4,6576,15.8,186.7,2.54,6.55,5,3,False,,0,False
R000063,P0003,39.0,4106,10.0,203.2,2.43,9.01,7,6,False,,0,False
R000064,P0003,34.6,3016,6.7,144.4,3.19,6.8,5,5,False,,0,False
R000065,P0003,65.9,9173,28.2,239.6,3.08,6.48,7,5,False,,0,False
R000066,P0003,56.0,5735,25.0,112.8,2.94,2.87,6,7,False,,0,False
R000067,P0003,52.8,6774,13.0,200.2,2.85,0.88,5,3,False,,0,False
R000068,P0003,55.0,7346,17.3,201.1,2.5,7.9,5,4,False,,0,False
R000069,P0003,30.4,3070,4.4,206.4,3.53,4.53,5,7,False,,0,False
R000070,P0003,41.9,4402,8.9,228.9,2.12,8.26,8,6,False,,0,False
R000071,P0003,74.3,6732,33.9,210.5,1.68,6.05,6,7,False,,0,False
R000072,P0003,28.3,4185,4.9,224.5,2.72,7.26,7,6,False,,0,False
R000073,P0003,58.6,7741,14.1,162.1,1.84,2.36,3,4,False,,0,False
R000074,P0003,44.3,5736,21.7,176.8,2.99,3.55,5,5,False,,0,False
R000075,P0003,55.2,7154,12.3,181.4,1.89,8.22,6,6,False,,0,False
R000076,P0003,42.7,6237,13.7,253.3,1.81,6.49,4,3,False,,0,False
R000077,P0003,55.4,4257,12.8,189.0,2.29,5.81,4,6,False,,0,False
R000078,P0003,53.0,5513,4.9,218.6,0.04,5.56,7,6,False,,0,True
R000079,P0003,72.6,7424,22.4,224.5,4.24,7.15,10,7,False,,0,True
R000080,P0003,24.1,2027,4.9,254.3,4.15,1.49,5,5,False,,0,False
R000081,P0003,19.6,2658,2.2,158.3,4.01,2.36,5,5,True,15:30,14,False
R000082,P0003,45.7,4645,16.1,155.2,1.89,5.65,8,4,False,,0,False
R000083,P0003,53.3,4536,12.3,136.4,3.05,6.12,3,3,True,13:33,43,False
R000084,P0003,28.0,2794,4.9,178.4,3.47,6.52,3,5,True,14:47,42,False
R000085,P0003,80.1,8457,19.6,122.1,1.79,3.91,6,6,False,,0,False
R000086,P0003,61.1,6380,20.4,257.6,3.82,7.43,7,4,False,,0,True
R000087,P0003,10.2,1911,1.0,212.0,3.85,1.76,5,4,False,,0,False
R000088,P0003,40.8,5346,9.0,205.0,0.0,1.76,6,6,False,,0,False
R000089,P0003,32.7,3316,2.6,116.2,3.31,4.51,3,3,True,15:07,50,False
R000090,P0003,49.1,3574,14.8,228.4,2.85,6.16,6,7,False,,0,False
R000091,P0004,62.9,6856,18.9,60.1,4.3,5.17,3,4,False,,0,False
R000092,P0004,60.1,6410,18.0,179.8,3.26,2.27,3,5,False,,0,False
R000093,P0004,86.5,11659,18.2,216.4,1.75,6.01,3,4,True,15:31,12,False
R000094,P0004,65.0,7497,17.7,246.3,4.03,5.7,4,4,True,17:43,38,True
R000095,P0004,83.7,9820,15.7,142.3,2.35,5.73,4,3,False,,0,False
R000096,P0004,46.5,4726,7.0,166.3,2.08,0.83,4,4,False,,0,False
R000097,P0004,64.3,5404,13.3,145.4,2.96,0.92,7,5,True,14:38,63,True
R000098,P0004,56.3,5303,26.4,96.7,1.98,3.71,3,6,False,,0,False
R000099,P0004,49.0,5284,7.9,121.6,3.27,4.27,3,5,True,13:51,10,False
R000100,P0004,70.5,6641,24.6,97.7,3.18,6.28,5,4,True,17:42,51,False
R000101,P0004,105.2,13739,26.6,104.3,1.15,4.71,7,5,False,,0,True
R000102,P0004,73.5,7734,23.5,80.4,3.42,4.24,3,1,False,,0,False
R000103,P0004,58.7,7553,18.4,176.4,1.52,0.39,6,6,False,,0,False
R000104,P0004,104.6,13192,38.3,124.6,2.47,2.73,6,3,False,,0,False
R000105,P0004,66.3,8240,16.5,156.9,2.12,5.72,4,4,True,17:53,10,False
R000106,P0004,62.6,7688,30.9,99.5,4.81,5.61,5,5,True,16:44,10,True
R000107,P0004,36.3,2565,5.6,40.3,4.44,4.33,4,2,False,,0,False
R000108,P0004,89.4,11529,21.9,105.0,1.04,4.73,6,5,False,,0,True
R000109,P0004,67.8,7711,37.9,116.9,4.43,4.26,6,6,False,,0,False
R000110,P0004,41.1,4610,10.0,148.2,2.95,2.04,7,7,False,,0,False
R000111,P0004,77.0,10051,20.5,61.6,3.45,1.21,6,4,False,,0,False
R000112,P0004,71.4,6364,25.6,36.0,2.18,5.23,3,1,False,,0,False
R000113,P0004,59.1,6063,25.3,148.2,3.03,4.23,6,5,False,,0,False
R000114,P0004,53.3,6457,16.5,119.8,3.74,5.48,7,6,False,,0,False
R000115,P0004,90.5,9489,37.5,13.6,1.88,4.76,3,5,True,14:32,63,False
R000116,P0004,90.2,10461,17.7,65.7,1.74,5.51,6,6,False,,0,False
R000117,P0004,63.3,8615,14.4,125.5,0.96,1.74,5,5,False,,0,False
R000118,P0004,75.2,8395,19.5,382.2,2.94,0.09,4,5,True,14:55,14,True
R000119,P0004,47.9,5565,18.1,91.4,3.98,4.51,3,3,False,,0,False
R000120,P0004,75.9,8894,42.3,163.6,2.28,5.44,5,3,False,,0,False
R000121,P0005,40.4,5159,12.5,90.0,7.17,8.63,5,4,False,,0,False
R000122,P0005,57.3,5914,18.2,168.2,8.62,9.06,6,7,False,,0,False
R000123,P0005,61.4,6968,21.7,137.8,5.6,7.93,5,4,False,,0,False
R000124,P0005,22.3,2885,17.6,164.9,6.56,8.3,5,2,False,,0,False
R000125,P0005,31.7,3011,15.3,191.9,5.83,7.22,7,4,False,,0,False
R000126,P0005,34.9,3419,7.4,151.8,5.85,2.39,8,5,False,,0,False
R000127,P0005,59.5,6340,19.2,211.6,6.31,4.28,6,4,False,,0,False
R000128,P0005,44.6,4888,7.0,197.5,5.78,9.24,6,6,False,,0,False
R000129,P0005,42.8,3962,13.8,144.7,6.08,7.74,6,4,False,,0,False
R000130,P0005,46.4,6418,7.0,94.8,6.37,8.17,7,6,False,,0,False
R000131,P0005,24.0,4112,0.0,150.3,7.91,7.16,6,5,False,,0,False
R000132,P0005,45.6,4415,19.8,208.1,6.67,8.48,6,5,True,14:45,16,False
R000133,P0005,33.3,3998,10.3,140.8,5.42,4.51,3,4,False,,0,False
R000134,P0005,48.7,5839,22.7,117.1,5.38,5.14,6,6,False,,0,False
R000135,P0005,25.2,1378,11.7,142.5,4.9,7.73,7,4,False,,0,False
R000136,P0005,31.2,4357,15.2,40.2,5.11,7.62,4,4,False,,0,False
R000137,P0005,9.2,411,1.2,124.0,5.49,8.54,8,5,False,,0,False
R000138,P0005,58.5,7975,17.1,118.0,6.09,8.66,6,6,False,,0,False
R000139,P0005,33.8,2365,3.4,77.3,6.5,9.13,7,5,False,,0,False
R000140,P0005,29.7,3784,0.0,151.5,6.02,3.65,6,6,False,,0,False
R000141,P0005,27.3,2254,0.0,141.5,7.07,2.35,7,5,False,,0,False
R000142,P0005,6.3,1029,6.0,172.7,7.18,7.78,6,5,False,,0,False
R000143,P0005,9.8,0,5.3,139.8,3.68,6.62,4,4,False,,0,False
R000144,P0005,38.2,3590,13.9,121.2,6.82,8.24,7,3,False,,0,False
R000145,P0005,8.7,0,7.0,160.8,6.03,9.83,8,7,False,,0,False
R000146,P0005,40.9,5878,12.1,84.7,5.69,6.96,8,6,False,,0,False
R000147,P0005,35.7,2589,0.0,97.4,5.29,3.76,4,6,False,,0,False
R000148,P0005,41.6,3928,15.4,210.4,6.76,2.44,8,5,False,,0,False
