Record_ID,Person_ID,Date,Day_of_Week,Is_Weekend,Sleep_Start_DateTime,Wake_DateTime,Sleep_Onset_Latency_Minutes,Number_of_Awakenings,Sleep_Efficiency,Sleep_Duration_Hours,Bedtime_Hour,Wake_Time_Hour,Sleep_Midpoint_Hour,Cross_Midnight_Flag,Daytime_Sleep_Flag,Sleep_Quality_Score,Sleep_Quality_Category
R000001,P0001,2026-01-05,Monday,False,2026-01-05 21:29,2026-01-06 05:39,22,0,92.3,8.17,21.5,5.65,1.57,True,False,4,Average
R000002,P0001,2026-01-06,Tuesday,False,2026-01-06 21:31,2026-01-07 04:23,21,2,84.0,6.87,21.52,4.38,0.95,True,False,7,Good
R000003,P0001,2026-01-07,Wednesday,False,2026-01-07 21:22,2026-01-08 04:44,29,2,86.1,7.37,21.38,4.73,1.05,True,False,7,Good
R000004,P0001,2026-01-08,Thursday,False,2026-01-08 21:10,2026-01-09 04:28,16,3,91.3,7.3,21.18,4.47,0.82,True,False,7,Good
R000005,P0001,2026-01-09,Friday,False,2026-01-09 21:15,2026-01-10 04:11,19,1,90.6,6.93,21.26,4.18,0.72,True,False,6,Average
R000006,P0001,2026-01-10,Saturday,True,2026-01-10 22:56,2026-01-11 07:04,15,2,98.5,8.13,22.94,7.07,3.0,True,False,7,Good
R000007,P0001,2026-01-11,Sunday,True,2026-01-11 21:12,2026-01-12 05:16,12,1,97.9,8.07,21.21,5.27,1.23,True,False,7,Good
R000008,P0001,2026-01-12,Monday,False,2026-01-12 20:45,2026-01-13 03:40,12,1,90.9,6.92,20.75,3.67,0.2,True,False,8,Good
R000009,P0001,2026-01-13,Tuesday,False,2026-01-13 21:10,2026-01-14 04:50,7,1,96.6,7.67,21.17,4.83,1.0,True,False,8,Good
R000010,P0001,2026-01-14,Wednesday,False,2026-01-14 22:22,2026-01-15 05:34,23,3,76.3,7.2,22.37,5.57,1.97,True,False,7,Good
R000011,P0001,2026-01-15,Thursday,False,2026-01-15 20:45,2026-01-16 04:00,0,0,98.7,7.25,20.75,4.0,0.37,True,False,7,Good
R000012,P0001,2026-01-16,Friday,False,2026-01-16 20:35,2026-01-17 04:13,18,0,98.0,7.63,20.58,4.22,0.4,True,False,6,Average
R000013,P0001,2026-01-17,Saturday,True,2026-01-17 21:46,2026-01-18 05:20,23,0,95.1,7.57,21.77,5.33,1.55,True,False,8,Good
R000014,P0001,2026-01-18,Sunday,True,2026-01-18 22:39,2026-01-19 05:53,18,0,93.0,7.23,22.65,5.88,2.27,True,False,8,Good
R000015,P0001,2026-01-19,Monday,False,2026-01-19 21:41,2026-01-20 04:49,11,1,93.1,7.13,21.69,4.82,1.25,True,False,8,Good
R000016,P0001,2026-01-20,Tuesday,False,2026-01-20 20:50,2026-01-21 04:18,3,0,93.0,7.47,20.84,4.3,0.57,True,False,7,Good
R000017,P0001,2026-01-21,Wednesday,False,2026-01-21 22:11,2026-01-22 05:58,26,2,88.0,7.78,22.19,5.97,2.07,True,False,7,Good
R000018,P0001,2026-01-22,Thursday,False,2026-01-22 23:50,2026-01-23 07:57,15,3,94.3,8.12,23.85,7.95,3.88,True,False,7,Good
R000019,P0001,2026-01-23,Friday,False,2026-01-23 21:53,2026-01-24 06:12,32,1,88.8,8.32,21.89,6.2,2.03,True,False,7,Good
R000020,P0001,2026-01-24,Saturday,True,2026-01-24 23:11,2026-01-25 06:54,22,0,94.6,7.72,23.2,6.9,3.03,True,False,8,Good
R000021,P0001,2026-01-25,Sunday,True,2026-01-25 22:09,2026-01-26 04:40,40,2,86.3,6.52,22.16,4.67,1.4,True,False,7,Good
R000022,P0001,2026-01-26,Monday,False,2026-01-26 21:33,2026-01-27 04:26,18,1,95.7,6.88,21.55,4.43,0.98,True,False,6,Average
R000023,P0001,2026-01-27,Tuesday,False,2026-01-27 21:13,2026-01-28 03:50,6,0,98.6,6.62,21.22,3.83,0.52,True,False,6,Average
R000024,P0001,2026-01-28,Wednesday,False,2026-01-28 21:35,2026-01-29 04:57,25,3,82.8,7.37,21.6,4.95,1.27,True,False,7,Good
R000025,P0001,2026-01-29,Thursday,False,2026-01-29 21:43,2026-01-30 05:10,14,3,90.5,7.45,21.73,5.17,1.43,True,False,7,Good
R000026,P0001,2026-01-30,Friday,False,2026-01-30 21:24,2026-01-31 04:23,21,1,88.0,6.98,21.41,4.38,0.88,True,False,4,Average
R000027,P0001,2026-01-31,Saturday,True,2026-01-31 22:49,2026-02-01 06:15,4,0,92.2,7.43,22.83,6.25,2.53,True,False,8,Good
R000028,P0001,2026-02-01,Sunday,True,2026-02-01 21:50,2026-02-02 02:30,5,0,88.5,4.67,21.85,2.5,0.17,True,False,8,Good
R000029,P0001,2026-02-02,Monday,False,2026-02-02 21:56,2026-02-03 05:11,0,5,86.3,7.25,21.95,5.18,1.55,True,False,6,Average
R000030,P0001,2026-02-03,Tuesday,False,2026-02-03 21:09,2026-02-04 03:25,13,2,78.7,6.27,21.16,3.42,0.28,True,False,6,Average
R000031,P0002,2026-01-05,Monday,False,2026-01-05 00:22,2026-01-05 06:55,26,4,83.5,6.55,0.38,6.92,3.63,False,False,6,Average
R000032,P0002,2026-01-06,Tuesday,False,2026-01-06 23:24,2026-01-07 06:48,14,2,93.8,7.4,23.42,6.8,3.1,True,False,7,Good
R000033,P0002,2026-01-07,Wednesday,False,2026-01-07 00:01,2026-01-07 07:31,19,1,98.1,7.5,0.03,7.52,3.77,False,False,6,Average
R000034,P0002,2026-01-08,Thursday,False,2026-01-08 23:26,2026-01-09 06:18,25,1,94.4,6.87,23.45,6.3,2.87,True,False,5,Average
R000035,P0002,2026-01-09,Friday,False,2026-01-09 22:51,2026-01-10 05:55,17,1,97.2,7.07,22.86,5.92,2.38,True,False,7,Good
R000036,P0002,2026-01-10,Saturday,True,2026-01-10 02:14,2026-01-10 10:17,17,1,97.3,8.05,2.24,10.28,6.25,False,False,6,Average
