Env_ID,Location_ID,Date,Temperature_C,Humidity_Percent,Daylight_Hours,Season,Air_Quality_Index,Environmental_Noise_dB
EN000001,L0001,2026-01-05,11.4,61.8,10.25,Winter,80.5,62.7
EN000002,L0001,2026-01-06,7.4,60.2,10.26,Winter,71.8,56.4
EN000003,L0001,2026-01-07,10.8,62.9,10.27,Winter,82.3,61.9
EN000004,L0001,2026-01-08,10.9,74.8,10.28,Winter,76.5,53.7
EN000005,L0001,2026-01-09,11.5,62.2,10.29,Winter,82.3,57.8
EN000006,L0001,2026-01-10,10.4,63.9,10.3,Winter,87.1,57.2
EN000007,L0001,2026-01-11,10.0,65.9,10.31,Winter,77.5,59.8
EN000008,L0001,2026-01-12,11.5,70.6,10.32,Winter,100.0,56.0
EN000009,L0001,2026-01-13,9.8,63.1,10.34,Winter,78.6,63.6
EN000010,L0001,2026-01-14,10.5,63.0,10.35,Winter,58.5,61.3
EN000011,L0001,2026-01-15,12.1,71.3,10.37,Winter,60.7,59.2
EN000012,L0001,2026-01-16,10.9,69.3,10.38,Winter,82.2,59.1
EN000013,L0001,2026-01-17,11.9,68.4,10.4,Winter,74.0,61.2
EN000014,L0001,2026-01-18,8.1,66.1,10.41,Winter,63.4,54.8
EN000015,L0001,2026-01-19,10.2,77.0,10.43,Winter,57.9,62.8
EN000016,L0001,2026-01-20,7.7,66.0,10.44,Winter,72.3,60.9
EN000017,L0001,2026-01-21,12.0,72.8,10.46,Winter,65.1,55.7
EN000018,L0001,2026-01-22,12.3,66.9,10.48,Winter,52.1,52.3
EN000019,L0001,2026-01-23,9.1,71.0,10.5,Winter,72.0,61.5
EN000020,L0001,2026-01-24,10.0,69.0,10.52,Winter,78.8,56.5
EN000021,L0001,2026-01-25,11.6,64.0,10.54,Winter,64.9,56.1
EN000022,L0001,2026-01-26,8.6,70.9,10.55,Winter,63.4,58.1
EN000023,L0001,2026-01-27,11.7,70.7,10.57,Winter,79.3,57.5
EN000024,L0001,2026-01-28,10.1,67.5,10.59,Winter,46.4,50.8
EN000025,L0001,2026-01-29,8.5,62.0,10.61,Winter,75.6,53.5
EN000026,L0001,2026-01-30,10.2,75.8,10.64,Winter,65.0,61.7
EN000027,L0001,2026-01-31,9.2,66.8,10.66,Winter,56.7,56.3
EN000028,L0001,2026-02-01,12.5,57.6,10.68,Winter,76.1,59.2
EN000029,L0001,2026-02-02,9.9,59.3,10.7,Winter,71.0,55.4
EN000030,L0001,2026-02-03,11.4,68.1,10.72,Winter,92.4,56.8
EN000031,L0002,2026-01-05,23.2,76.1,10.89,Winter,88.1,64.8
EN000032,L0002,2026-01-06,26.5,77.1,10.9,Winter,105.5,52.1
EN000033,L0002,2026-01-07,23.9,69.4,10.91,Winter,79.5,51.1
EN000034,L0002,2026-01-08,26.2,73.7,10.91,Winter,64.4,52.9
EN000035,L0002,2026-01-09,25.6,80.0,10.92,Winter,113.0,72.6
EN000036,L0002,2026-01-10,25.8,69.1,10.93,Winter,55.2,59.3
EN000037,L0002,2026-01-11,23.5,72.5,10.94,Winter,76.4,57.3
EN000038,L0002,2026-01-12,26.9,75.9,10.94,Winter,82.8,52.8
EN000039,L0002,2026-01-13,22.0,72.1,10.95,Winter,84.2,66.8
EN000040,L0002,2026-01-14,25.2,80.9,10.96,Winter,78.0,52.1
EN000041,L0002,2026-01-15,23.3,70.6,10.97,Winter,114.8,53.9
EN000042,L0002,2026-01-16,26.5,69.6,10.98,Winter,98.0,59.9
EN000043,L0002,2026-01-17,24.7,74.8,10.99,Winter,75.8,60.2
EN000044,L0002,2026-01-18,24.2,67.6,11.0,Winter,67.1,58.9
EN000045,L0002,2026-01-19,27.8,76.0,11.01,Winter,83.3,59.4
EN000046,L0002,2026-01-20,27.4,76.3,11.02,Winter,79.2,63.5
EN000047,L0002,2026-01-21,25.8,84.2,11.03,Winter,87.6,51.9
EN000048,L0002,2026-01-22,22.5,84.9,11.04,Winter,109.1,57.1
EN000049,L0002,2026-01-23,24.3,83.8,11.05,Winter,69.5,53.5
EN000050,L0002,2026-01-24,26.2,72.6,11.06,Winter,84.9,57.2
EN000051,L0002,2026-01-25,25.6,83.4,11.07,Winter,86.3,61.2
EN000052,L0002,2026-01-26,21.3,74.7,11.09,Winter,73.2,51.9
EN000053,L0002,2026-01-27,23.4,73.0,11.1,Winter,97.8,51.4
EN000054,L0002,2026-01-28,25.1,72.1,11.11,Winter,80.4,63.0
EN000055,L0002,2026-01-29,26.0,83.0,11.12,Winter,82.8,54.5
EN000056,L0002,2026-01-30,24.6,76.5,11.14,Winter,87.5,52.6
EN000057,L0002,2026-01-31,25.2,76.4,11.15,Winter,120.2,67.4
EN000058,L0002,2026-02-01,23.5,73.3,11.16,Winter,64.5,55.0
EN000059,L0002,2026-02-02,25.6,82.2,11.18,Winter,74.8,54.7
EN000060,L0002,2026-02-03,21.2,74.0,11.19,Winter,70.1,55.4
EN000061,L0003,2026-01-05,-1.7,64.4,9.68,Winter,33.4,50.7
EN000062,L0003,2026-01-06,3.7,57.3,9.69,Winter,42.6,67.2
EN000063,L0003,2026-01-07,5.0,58.0,9.7,Winter,52.8,59.7
EN000064,L0003,2026-01-08,2.9,59.1,9.72,Winter,54.6,61.9
EN000065,L0003,2026-01-09,0.5,62.7,9.73,Winter,56.1,51.1
EN000066,L0003,2026-01-10,-0.7,63.4,9.75,Winter,61.3,55.2
EN000067,L0003,2026-01-11,0.6,71.1,9.76,Winter,60.2,59.8
EN000068,L0003,2026-01-12,-0.2,65.0,9.78,Winter,47.9,59.6
EN000069,L0003,2026-01-13,-0.5,77.6,9.8,Winter,80.0,59.9
EN000070,L0003,2026-01-14,-1.7,58.3,9.82,Winter,74.7,59.3
EN000071,L0003,2026-01-15,0.5,54.5,9.84,Winter,71.0,60.3
EN000072,L0003,2026-01-16,-2.3,62.2,9.86,Winter,61.7,58.3
EN000073,L0003,2026-01-17,-0.9,64.4,9.88,Winter,54.5,58.8
EN000074,L0003,2026-01-18,2.3,49.6,9.9,Winter,54.7,58.9
EN000075,L0003,2026-01-19,0.2,62.8,9.92,Winter,33.4,59.6
EN000076,L0003,2026-01-20,2.8,55.8,9.94,Winter,70.1,56.4
EN000077,L0003,2026-01-21,-0.4,58.7,9.97,Winter,53.3,64.5
EN000078,L0003,2026-01-22,0.7,75.4,9.99,Winter,74.5,60.2
EN000079,L0003,2026-01-23,2.8,67.6,10.01,Winter,69.6,56.5
EN000080,L0003,2026-01-24,-0.2,60.8,10.04,Winter,71.9,52.1
EN000081,L0003,2026-01-25,1.1,63.9,10.06,Winter,74.4,61.8
EN000082,L0003,2026-01-26,3.0,69.4,10.09,Winter,36.0,57.7
EN000083,L0003,2026-01-27,-2.3,61.9,10.12,Winter,79.2,61.2
EN000084,L0003,2026-01-28,-1.4,58.9,10.14,Winter,58.5,51.9
EN000085,L0003,2026-01-29,-1.4,66.9,10.17,Winter,74.2,61.0
EN000086,L0003,2026-01-30,-4.2,66.8,10.2,Winter,59.0,60.1
EN000087,L0003,2026-01-31,2.8,52.6,10.23,Winter,49.7,61.0
EN000088,L0003,2026-02-01,-2.9,73.9,10.25,Winter,63.2,62.2
EN000089,L0003,2026-02-02,-1.0,69.9,10.28,Winter,73.0,59.2
EN000090,L0003,2026-02-03,0.5,66.6,10.31,Winter,45.9,57.3
EN000091,L0004,2026-01-05,-0.2,67.3,9.76,Winter,72.0,52.7
EN000092,L0004,2026-01-06,-0.2,73.9,9.77,Winter,47.6,53.9
EN000093,L0004,2026-01-07,0.3,70.1,9.79,Winter,58.2,64.6
EN000094,L0004,2026-01-08,1.5,70.1,9.8,Winter,65.8,69.6
EN000095,L0004,2026-01-09,-0.5,53.0,9.82,Winter,80.5,55.7
EN000096,L0004,2026-01-10,0.1,72.9,9.83,Winter,35.6,51.7
EN000097,L0004,2026-01-11,-3.0,60.2,9.85,Winter,64.2,60.6
EN000098,L0004,2026-01-12,0.3,56.5,9.86,Winter,25.7,58.3
EN000099,L0004,2026-01-13,-1.0,67.8,9.88,Winter,67.8,58.7
EN000100,L0004,2026-01-14,1.2,66.4,9.9,Winter,65.4,54.5
EN000101,L0004,2026-01-15,-0.5,66.2,9.92,Winter,69.5,56.0
EN000102,L0004,2026-01-16,0.7,63.4,9.94,Winter,56.4,62.1
EN000103,L0004,2026-01-17,-3.8,57.2,9.96,Winter,37.2,46.3
EN000104,L0004,2026-01-18,-1.4,69.5,9.98,Winter,54.0,59.0
EN000105,L0004,2026-01-19,1.8,73.0,10.0,Winter,57.0,64.8
EN000106,L0004,2026-01-20,-0.0,60.0,10.02,Winter,49.7,50.6
EN000107,L0004,2026-01-21,-1.8,62.9,10.04,Winter,69.3,66.6
EN000108,L0004,2026-01-22,-2.7,67.4,10.06,Winter,43.4,60.4
EN000109,L0004,2026-01-23,-0.4,54.0,10.09,Winter,71.0,55.0
EN000110,L0004,2026-01-24,-1.1,58.6,10.11,Winter,48.8,60.1
EN000111,L0004,2026-01-25,-0.5,67.0,10.13,Winter,63.1,64.6
EN000112,L0004,2026-01-26,-0.7,56.1,10.16,Winter,72.9,56.3
EN000113,L0004,2026-01-27,1.9,67.3,10.18,Winter,56.2,59.7
EN000114,L0004,2026-01-28,3.5,77.5,10.21,Winter,59.0,58.8
EN000115,L0004,2026-01-29,1.9,59.9,10.24,Winter,62.7,57.9
EN000116,L0004,2026-01-30,0.6,60.0,10.26,Winter,35.7,47.6
EN000117,L0004,2026-01-31,-1.9,62.2,10.29,Winter,53.9,67.7
EN000118,L0004,2026-02-01,2.1,59.2,10.32,Winter,62.9,56.0
EN000119,L0004,2026-02-02,-0.4,66.1,10.35,Winter,66.7,56.3
EN000120,L0004,2026-02-03,2.1,58.1,10.37,Winter,58.1,71.0
EN000121,L0005,2026-01-05,-0.0,73.6,9.51,Winter,59.3,60.9
EN000122,L0005,2026-01-06,-0.5,64.0,9.52,Winter,47.1,60.2
EN000123,L0005,2026-01-07,-2.0,69.0,9.53,Winter,73.2,59.8
EN000124,L0005,2026-01-08,-1.0,67.7,9.55,Winter,53.7,62.7
EN000125,L0005,2026-01-09,-3.8,63.0,9.57,Winter,30.1,50.5
EN000126,L0005,2026-01-10,1.9,70.4,9.58,Winter,47.9,50.5
EN000127,L0005,2026-01-11,-5.9,61.7,9.6,Winter,91.9,60.2
EN000128,L0005,2026-01-12,-1.6,67.8,9.62,Winter,36.1,56.5
EN000129,L0005,2026-01-13,-0.4,64.5,9.64,Winter,69.1,59.7
EN000130,L0005,2026-01-14,0.6,60.9,9.66,Winter,70.6,66.1
EN000131,L0005,2026-01-15,-2.4,59.7,9.68,Winter,76.7,57.0
EN000132,L0005,2026-01-16,1.9,62.3,9.7,Winter,78.4,58.7
EN000133,L0005,2026-01-17,-0.2,74.4,9.72,Winter,52.9,53.3
EN000134,L0005,2026-01-18,-1.4,67.7,9.74,Winter,36.1,61.2
EN000135,L0005,2026-01-19,-1.6,71.9,9.77,Winter,24.5,54.1
EN000136,L0005,2026-01-20,-3.7,60.0,9.79,Winter,61.5,57.1
EN000137,L0005,2026-01-21,-1.1,64.0,9.82,Winter,60.8,53.0
EN000138,L0005,2026-01-22,0.7,69.0,9.84,Winter,63.4,60.8
EN000139,L0005,2026-01-23,-0.1,77.2,9.87,Winter,56.8,56.5
EN000140,L0005,2026-01-24,-1.9,58.8,9.89,Winter,40.6,53.6
EN000141,L0005,2026-01-25,-0.7,67.0,9.92,Winter,58.7,54.2
EN000142,L0005,2026-01-26,1.1,69.4,9.95,Winter,55.8,54.7
EN000143,L0005,2026-01-27,0.5,66.1,9.98,Winter,37.7,57.7
EN000144,L0005,2026-01-28,-0.0,59.6,10.01,Winter,60.7,50.7
EN000145,L0005,2026-01-29,2.0,72.5,10.04,Winter,54.5,59.8
EN000146,L0005,2026-01-30,-4.7,58.1,10.07,Winter,53.9,52.6
EN000147,L0005,2026-01-31,0.9,77.0,10.1,Winter,41.5,53.8
EN000148,L0005,2026-02-01,0.1,74.7,10.13,Winter,40.9,59.2
EN000149,L0005,2026-02-02,3.0,55.1,10.16,Winter,40.1,55.9
EN000150,L0005,2026-02-03,-1.2,69.9,10.19,Winter,61.4,49.1
EN000151,L0006,2026-01-05,-6.7,56.5,9.28,Winter,90.8,54.9
EN000152,L0006,2026-01-06,-8.9,63.2,9.29,Winter,83.7,60.2
EN000153,L0006,2026-01-07,-10.8,63.2,9.31,Winter,58.5,59.2
EN000154,L0006,2026-01-08,-10.4,62.7,9.33,Winter,61.7,51.6
EN000155,L0006,2026-01-09,-6.6,61.4,9.34,Winter,64.4,65.3
EN000156,L0006,2026-01-10,-8.7,60.2,9.36,Winter,76.8,54.9
EN000157,L0006,2026-01-11,-7.1,56.8,9.38,Winter,67.2,64.8
EN000158,L0006,2026-01-12,-9.8,45.5,9.4,Winter,95.6,70.7
EN000159,L0006,2026-01-13,-8.7,48.4,9.42,Winter,68.7,56.6
EN000160,L0006,2026-01-14,-8.3,53.3,9.45,Winter,81.1,60.6
EN000161,L0006,2026-01-15,-10.7,64.2,9.47,Winter,101.7,58.9
EN000162,L0006,2026-01-16,-8.6,59.1,9.49,Winter,81.6,49.3
EN000163,L0006,2026-01-17,-7.7,57.7,9.52,Winter,98.9,57.1
EN000164,L0006,2026-01-18,-5.0,53.4,9.54,Winter,81.2,59.6
EN000165,L0006,2026-01-19,-9.5,61.1,9.57,Winter,90.0,56.4
EN000166,L0006,2026-01-20,-11.0,59.9,9.59,Winter,60.4,56.3
EN000167,L0006,2026-01-21,-8.1,49.8,9.62,Winter,50.4,60.4
EN000168,L0006,2026-01-22,-8.9,44.6,9.65,Winter,84.0,59.4
EN000169,L0006,2026-01-23,-9.2,52.1,9.68,Winter,84.7,59.7
EN000170,L0006,2026-01-24,-3.6,62.5,9.71,Winter,78.4,57.2
EN000171,L0006,2026-01-25,-6.4,63.8,9.74,Winter,90.5,55.4
EN000172,L0006,2026-01-26,-8.6,57.1,9.77,Winter,84.1,65.5
EN000173,L0006,2026-01-27,-8.6,57.5,9.8,Winter,77.4,56.8
EN000174,L0006,2026-01-28,-6.0,46.5,9.83,Winter,61.4,54.1
EN000175,L0006,2026-01-29,-11.9,54.2,9.86,Winter,60.2,57.0
EN000176,L0006,2026-01-30,-5.7,58.5,9.89,Winter,58.6,57.7
EN000177,L0006,2026-01-31,-5.7,54.1,9.93,Winter,60.3,60.8
EN000178,L0006,2026-02-01,-8.0,63.9,9.96,Winter,72.8,61.5
EN000179,L0006,2026-02-02,-9.4,59.9,9.99,Winter,70.1,51.9
EN000180,L0006,2026-02-03,-10.2,64.1,10.03,Winter,68.1,52.9
EN000181,L0007,2026-01-05,10.3,74.8,10.05,Winter,38.1,50.5
EN000182,L0007,2026-01-06,8.8,76.8,10.06,Winter,74.0,61.8
EN000183,L0007,2026-01-07,8.4,61.3,10.07,Winter,76.3,58.3
EN000184,L0007,2026-01-08,11.4,66.9,10.08,Winter,73.9,58.8
EN000185,L0007,2026-01-09,11.8,72.8,10.09,Winter,47.3,46.8
EN000186,L0007,2026-01-10,12.2,75.1,10.11,Winter,55.7,48.7
