Person_ID,Age,Gender,Occupation,BMI,BMI_Category,Chronotype,Location_ID
P0001,26,Female,Manual Worker,28.5,Overweight,Morning,
P0002,30,Other,Driver,23.9,Normal,Evening,
P0003,43,Female,Teacher,25.5,Overweight,Intermediate,
P0004,48,Female,Freelancer,23.1,Normal,Evening,
P0005,39,Female,Software/IT Worker,23.2,Normal,Evening,
P0006,22,Male,Healthcare Worker,20.3,Normal,Evening,
P0007,38,Female,Night-Shift Worker,25.5,Overweight,Evening,
P0008,44,Male,Healthcare Worker,18.3,Underweight,Intermediate,
P0009,26,Male,Office Worker,22.5,Normal,Morning,
P0010,36,Male,Healthcare Worker,21.7,Normal,Morning,
P0011,24,Male,Office Worker,31.4,Obese,Evening,
P0012,20,Female,Student,19.4,Normal,Intermediate,
P0013,21,Male,Student,35.1,Obese,Evening,
P0014,21,Male,Night-Shift Worker,19.1,Normal,Evening,
P0015,20,Male,Student,22.2,Normal,Evening,
P0016,22,Male,Student,28.4,Overweight,Evening,
P0017,41,Male,Retail Worker,18.1,Underweight,Intermediate,
P0018,30,Female,Software/IT Worker,19.6,Normal,Evening,
P0019,24,Male,Office Worker,25.8,Overweight,Intermediate,
P0020,46,Male,Manual Worker,25.5,Overweight,Intermediate,
P0021,47,Male,Freelancer,34.3,Obese,Evening,
P0022,38,Male,Self-Employed,26.4,Overweight,Morning,
P0023,23,Male,Software/IT Worker,16.5,Underweight,Morning,
P0024,56,Female,Freelancer,26.1,Overweight,Evening,
P0025,21,Female,Healthcare Worker,23.1,Normal,Evening,
P0026,25,Male,Software/IT Worker,23.3,Normal,Intermediate,
P0027,39,Female,Driver,24.3,Normal,Intermediate,
P0028,30,Male,Office Worker,16.5,Underweight,Evening,
P0029,27,Female,Self-Employed,30.1,Obese,Morning,
P0030,18,Male,Software/IT Worker,17.4,Underweight,Evening,
P0031,29,Female,Researcher,19.3,Normal,Intermediate,
P0032,21,Female,Student,25.3,Overweight,Evening,
P0033,40,Female,Self-Employed,17.6,Underweight,Morning,
P0034,43,Male,Healthcare Worker,25.5,Overweight,Evening,
P0035,26,Female,Freelancer,31.3,Obese,Evening,
P0036,22,Other,Student,19.2,Normal,Evening,
P0037,34,Female,Software/IT Worker,17.3,Underweight,Intermediate,
P0038,44,Other,Teacher,22.3,Normal,Evening,
P0039,27,Male,Office Worker,23.7,Normal,Intermediate,
P0040,24,Male,Retail Worker,27.4,Overweight,Evening,
P0041,20,Female,Student,25.2,Overweight,Intermediate,
P0042,26,Female,Researcher,32.0,Obese,Intermediate,
P0043,57,Male,Freelancer,25.6,Overweight,Intermediate,
P0044,26,Male,Software/IT Worker,21.4,Normal,Intermediate,
P0045,36,Other,Software/IT Worker,23.2,Normal,Intermediate,
P0046,18,Female,Retail Worker,24.6,Normal,Intermediate,
P0047,57,Female,Healthcare Worker,25.1,Overweight,Intermediate,
P0048,22,Female,Office Worker,24.9,Normal,Morning,
P0049,37,Female,Driver,28.5,Overweight,Evening,
P0050,21,Male,Healthcare Worker,24.9,Normal,Evening,
P0051,52,Male,Software/IT Worker,23.2,Normal,Evening,
P0052,25,Male,Software/IT Worker,28.4,Overweight,Morning,
P0053,30,Male,Healthcare Worker,22.5,Normal,Intermediate,
P0054,44,Male,Teacher,20.1,Normal,Intermediate,
P0055,54,Male,Healthcare Worker,30.0,Obese,Intermediate,
P0056,18,Male,Student,22.4,Normal,Evening,
P0057,49,Other,Software/IT Worker,25.4,Overweight,Evening,
P0058,43,Female,Researcher,26.3,Overweight,Evening,
P0059,37,Male,Office Worker,26.4,Overweight,Evening,
P0060,38,Female,Manual Worker,22.8,Normal,Morning,
P0061,22,Male,Student,27.4,Overweight,Evening,
P0062,19,Female,Student,23.7,Normal,Evening,
P0063,18,Male,Retail Worker,22.2,Normal,Evening,
P0064,22,Male,Night-Shift Worker,23.0,Normal,Intermediate,
P0065,39,Male,Software/IT Worker,26.3,Overweight,Intermediate,
P0066,59,Male,Office Worker,20.6,Normal,Morning,
P0067,30,Male,Night-Shift Worker,18.7,Normal,Intermediate,
P0068,25,Female,Office Worker,24.9,Normal,Intermediate,
P0069,20,Male,Teacher,30.9,Obese,Intermediate,
P0070,45,Female,Manual Worker,27.0,Overweight,Morning,
P0071,37,Male,Healthcare Worker,28.0,Overweight,Intermediate,
P0072,27,Male,Self-Employed,16.5,Underweight,Intermediate,
P0073,40,Male,Software/IT Worker,25.7,Overweight,Intermediate,
P0074,42,Female,Teacher,20.2,Normal,Evening,
P0075,33,Male,Teacher,17.2,Underweight,Morning,
P0076,41,Other,Software/IT Worker,29.6,Overweight,Intermediate,
P0077,44,Female,Self-Employed,26.9,Overweight,Evening,
P0078,53,Male,Self-Employed,33.9,Obese,Intermediate,
P0079,28,Female,Office Worker,25.5,Overweight,Intermediate,
P0080,34,Female,Retail Worker,24.1,Normal,Evening,
P0081,22,Female,Retail Worker,25.0,Normal,Morning,
P0082,47,Male,Office Worker,25.9,Overweight,Morning,
P0083,35,Male,Office Worker,16.5,Underweight,Evening,
P0084,35,Female,Software/IT Worker,22.7,Normal,Intermediate,
P0085,35,Male,Night-Shift Worker,25.5,Overweight,Intermediate,
P0086,46,Male,Office Worker,22.9,Normal,Morning,
P0087,38,Female,Office Worker,16.5,Underweight,Morning,
P0088,42,Male,Freelancer,25.8,Overweight,Evening,
P0089,37,Male,Office Worker,21.7,Normal,Intermediate,
P0090,24,Female,Night-Shift Worker,25.1,Overweight,Intermediate,
P0091,36,Female,Software/IT Worker,22.4,Normal,Intermediate,
P0092,21,Female,Student,25.7,Overweight,Evening,
P0093,22,Female,Student,25.5,Overweight,Intermediate,
P0094,40,Male,Driver,22.6,Normal,Intermediate,
P0095,50,Male,Self-Employed,20.5,Normal,Intermediate,
P0096,43,Male,Office Worker,27.3,Overweight,Evening,
P0097,18,Female,Student,21.9,Normal,Morning,
P0098,54,Male,Software/IT Worker,24.9,Normal,Intermediate,
P0099,36,Female,Software/IT Worker,22.6,Normal,Evening,
P0100,32,Other,Office Worker,28.4,Overweight,Intermediate,
P0101,42,Female,Healthcare Worker,24.9,Normal,Intermediate,
P0102,34,Male,Freelancer,26.5,Overweight,Intermediate,
P0103,47,Female,Office Worker,21.9,Normal,Intermediate,
P0104,20,Female,Manual Worker,28.8,Overweight,Intermediate,
P0105,32,Female,Driver,21.2,Normal,Intermediate,
P0106,47,Male,Driver,17.3,Underweight,Intermediate,
P0107,28,Male,Healthcare Worker,24.7,Normal,Intermediate,
P0108,37,Male,Office Worker,27.8,Overweight,Intermediate,
P0109,34,Female,Software/IT Worker,21.3,Normal,Intermediate,
P0110,40,Male,Software/IT Worker,29.2,Overweight,Morning,
P0111,29,Male,Retail Worker,24.2,Normal,Evening,
P0112,41,Male,Freelancer,27.3,Overweight,Evening,
P0113,18,Female,Researcher,19.9,Normal,Evening,
P0114,19,Male,Student,24.4,Normal,Intermediate,
P0115,47,Female,Researcher,27.8,Overweight,Intermediate,
P0116,43,Male,Teacher,25.3,Overweight,Intermediate,
P0117,49,Male,Teacher,34.3,Obese,Intermediate,
P0118,48,Male,Software/IT Worker,25.0,Overweight,Intermediate,
P0119,51,Male,Researcher,17.3,Underweight,Evening,
P0120,18,Female,Student,24.6,Normal,Morning,
P0121,38,Female,Manual Worker,29.0,Overweight,Intermediate,
P0122,38,Female,Software/IT Worker,19.9,Normal,Morning,
P0123,51,Female,Healthcare Worker,18.6,Normal,Intermediate,
P0124,44,Other,Software/IT Worker,21.2,Normal,Intermediate,
P0125,58,Female,Office Worker,16.5,Underweight,Intermediate,
P0126,48,Female,Driver,21.3,Normal,Morning,
P0127,42,Male,Freelancer,26.2,Overweight,Intermediate,
P0128,37,Male,Office Worker,24.9,Normal,Evening,
P0129,44,Female,Software/IT Worker,25.3,Overweight,Evening,
P0130,22,Male,Student,23.5,Normal,Evening,
P0131,50,Female,Freelancer,16.5,Underweight,Morning,
P0132,21,Female,Student,16.5,Underweight,Evening,
P0133,50,Male,Office Worker,22.1,Normal,Intermediate,
P0134,46,Female,Software/IT Worker,35.4,Obese,Morning,
P0135,23,Male,Office Worker,19.5,Normal,Intermediate,
P0136,34,Female,Freelancer,20.8,Normal,Evening,
P0137,18,Male,Freelancer,29.7,Overweight,Morning,
P0138,19,Female,Student,30.5,Obese,Intermediate,
P0139,36,Male,Researcher,20.8,Normal,Evening,
P0140,36,Female,Healthcare Worker,16.5,Underweight,Evening,
P0141,63,Male,Office Worker,30.7,Obese,Evening,
P0142,41,Female,Driver,21.0,Normal,Evening,
P0143,47,Female,Researcher,17.5,Underweight,Evening,
P0144,52,Male,Office Worker,21.1,Normal,Morning,
P0145,53,Female,Freelancer,31.4,Obese,Morning,
P0146,34,Female,Teacher,22.7,Normal,Morning,
P0147,51,Female,Night-Shift Worker,28.7,Overweight,Evening,
P0148,42,Female,Retail Worker,28.1,Overweight,Intermediate,
P0149,39,Male,Retail Worker,28.9,Overweight,Morning,
P0150,37,Male,Software/IT Worker,20.5,Normal,Evening,
P0151,18,Male,Student,29.0,Overweight,Intermediate,
P0152,44,Female,Manual Worker,23.8,Normal,Morning,
P0153,36,Female,Healthcare Worker,22.3,Normal,Intermediate,
P0154,31,Male,Office Worker,23.0,Normal,Intermediate,
P0155,59,Female,Self-Employed,35.0,Obese,Morning,
P0156,26,Male,Software/IT Worker,21.9,Normal,Evening,
